ID,District,Block,CultLand,CropCultLand,LandPreparationMethod,CropTillageDate,CropTillageDepth,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,SeedlingsPerPit,NursDetFactor,TransDetFactor,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,OrgFertilizers,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,CropbasalFerts,BasalDAP,BasalUrea,MineralFertAppMethod,FirstTopDressFert,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod,Harv_method,Harv_date,Harv_hand_rent,Threshing_date,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,Yield
ID_92OQSAHCN51N,Jamui,Khaira,25,14,TractorPlough,2022-07-21,4,Manual_PuddledLine,2022-06-30,2022-07-26,1.0,LabourAvailability,SeedlingAge IrrigWaterAvailability LaborAvailability,3.0,Boring,Diesel,350.0,2.0,FYM,,2.0,SoilApplied,3,DAP,13.0,,Broadcasting,Urea,15.0,25.0,12.0,65.0,Broadcasting,hand,2022-12-01,1200.0,2022-12-23,hand,22,10,plowed_in_soil,0.5909090909090909,1300
ID_LPERFIRDG4R1,Nalanda,Noorsarai,30,30,TractorPlough,2022-07-23,4,Manual_PuddledRandom,2022-06-23,2022-07-24,2.0,CalendarDate IrrigWaterAvailability SeedAvailability,SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,6.0,Boring,Electric,180.0,2.0,,,,,2,DAP Urea,9.0,18.0,Broadcasting,Urea,18.0,28.0,,,Broadcasting,hand,2022-11-14,90.0,2023-01-21,machine,26,10,plowed_in_soil,0.28125,450
ID_7GO8WWV6X2G1,Nalanda,Noorsarai,50,50,TractorPlough,2022-07-23,4,Manual_PuddledRandom,2022-06-20,2022-07-24,2.0,CalendarDate IrrigWaterAvailability SeedAvailability,SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,6.0,Boring,Electric,250.0,3.0,,,,,2,DAP Urea,10.0,15.0,Broadcasting,Urea,15.0,40.0,,,Broadcasting,machine,2022-11-29,,2022-11-30,machine,25,40,plowed_in_soil,0.3125,450
ID_SJYVZSXJCX8S,Jamui,Jamui,29,29,TractorPlough BullockPlough,2022-07-23,4,Manual_PuddledRandom,2022-06-19,2022-07-29,4.0,CalendarDate IrrigWaterAvailability,CalendarDate RainArrival,5.0,Boring,Electric,1000.0,3.0,Ganaura,4.0,,Broadcasting,3,,,,Broadcasting,DAP Urea,2.0,30.0,1.0,60.0,Broadcasting,hand,2022-11-30,90.0,2023-02-02,hand,29,10,plowed_in_soil,0.4545454545454545,800
ID_O99ZE30OJQ0E,Jamui,Jamui,10,10,TractorPlough BullockPlough,2022-06-29,4,Manual_PuddledRandom,2022-06-21,2022-07-27,4.0,CalendarDate IrrigWaterAvailability,CalendarDate SeedlingAge,2.0,Boring,Electric,400.0,3.0,Ganaura,2.0,,Broadcasting,3,,,,Broadcasting,Urea DAP,2.0,30.0,1.0,60.0,Broadcasting,hand,2022-11-26,90.0,2023-01-27,hand,29,10,plowed_in_soil,0.1818181818181818,280
ID_Z6B7YYFTNM37,Nalanda,Rajgir,23,20,TractorPlough FourWheelTracRotavator,2022-07-10,2,Broadcasting,,2022-07-12,,,,9.0,Boring,Electric,,3.0,FYM,,18.0,Broadcasting,3,DAP Urea SSP,9.0,9.0,Broadcasting,DAP Urea,9.0,28.0,12.0,56.0,Broadcasting,machine,2022-12-17,,2022-12-17,machine,25,40,plowed_in_soil,0.28125,720
ID_K1DJXUHJ0N41,Gaya,Gurua,10,10,TractorPlough FourWheelTracRotavator,2022-07-25,5,Manual_PuddledRandom,2022-06-25,2022-07-28,3.0,CalendarDate IrrigWaterAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability,6.0,Boring,Electric,150.0,3.0,,,,,2,NPK,,,Broadcasting,Urea,10.0,40.0,,,Broadcasting,hand,2022-11-22,120.0,2022-12-18,hand,27,10,plowed_in_soil,0.3703703703703703,750
ID_NLYRDS71BFQ5,Vaishali,Garoul,20,5,FourWheelTracRotavator,2022-07-08,6,Manual_PuddledRandom,2022-06-18,2022-07-11,1.0,SeedAvailability,SeedlingAge IrrigWaterAvailability,2.0,Boring,Electric,,3.0,FYM,,35.0,SoilApplied,3,DAP Other,10.0,,SoilApplied,Urea,5.0,30.0,5.0,50.0,Broadcasting,hand,2022-10-15,1000.0,2022-10-28,hand,30,10,plowed_in_soil,0.2272727272727273,350
ID_QI1Y04PL4BL4,Vaishali,Garoul,10,3,TractorPlough,2022-07-20,6,Manual_PuddledLine,2022-06-30,2022-07-27,2.0,PreMonsoonShowers SeedAvailability,CalendarDate SeedlingAge RainArrival,,,,,2.0,VermiCompost,,,SoilApplied,2,DAP Other,6.0,,SoilApplied,Urea,6.0,50.0,,,Broadcasting,hand,2022-10-31,600.0,2022-11-15,hand,30,10,plowed_in_soil,0.1363636363636364,210
ID_M15DEOHHIANN,Nalanda,Rajgir,40,40,TractorPlough FourWheelTracRotavator,2022-06-12,6,Manual_PuddledRandom,2022-06-20,2022-07-14,1.0,CalendarDate PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,5.0,Boring,Electric,200.0,2.0,Ganaura,25.0,,SoilApplied,2,DAP,13.0,,Broadcasting,Urea,12.0,26.0,,,Broadcasting,hand,2022-11-25,560.0,2023-03-10,machine,25,10,plowed_in_soil,0.25,480
ID_AL1AO5QK2GB8,Nalanda,Rajgir,50,40,WetTillagePuddling TractorPlough FourWheelTracRotavator,2022-07-13,6,Manual_PuddledRandom,2022-06-25,2022-07-14,2.0,CalendarDate PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability,CalendarDate RainArrival IrrigWaterAvailability LaborAvailability SeedlingAge,6.0,Boring,Electric,120.0,4.0,Ganaura,4.0,,SoilApplied,2,DAP,13.0,,SoilApplied,DAP Urea,26.0,26.0,,,Broadcasting,hand,2022-12-12,600.0,2023-01-06,machine,25,10,plowed_in_soil,0.40625,1200
ID_1YX1Q0KU8H4J,Nalanda,Noorsarai,40,35,TractorPlough,2022-07-16,5,Manual_PuddledRandom,2022-06-18,2022-07-17,1.0,CalendarDate IrrigWaterAvailability,SeedlingAge IrrigWaterAvailability,6.0,Boring,Electric,120.0,3.0,,,,,1,Urea,,25.0,Broadcasting,,,,,,,hand,2022-10-20,1200.0,2022-11-02,machine,25,10,plowed_in_soil,0.375,720
ID_GO9NJB2IHGJ5,Jamui,Khaira,19,15,TractorPlough,2022-07-26,4,Manual_PuddledRandom,2022-07-04,2022-08-04,1.0,LabourAvailability,SeedlingAge CalendarDate RainArrival IrrigWaterAvailability LaborAvailability,2.0,Boring,Diesel,250.0,2.0,FYM,,2.0,SoilApplied,3,DAP,10.0,,Broadcasting,Urea,10.0,23.0,10.0,65.0,Broadcasting,hand,2022-12-01,900.0,2022-12-16,hand,23,10,plowed_in_soil,0.4545454545454545,1100
ID_XR4T47FT6ZYJ,Vaishali,Mahua,5,3,WetTillagePuddling TractorPlough FourWheelTracRotavator BullockPlough,2022-07-05,5,Manual_PuddledRandom,2022-06-26,2022-07-10,2.0,CalendarDate PreMonsoonShowers LabourAvailability IrrigWaterAvailability,CalendarDate RainArrival,1.0,Canal,Diesel,100.0,2.0,,,,,2,Urea DAP,5.0,5.0,SoilApplied,Urea,5.0,35.0,,,SoilApplied,hand,2022-10-15,150.0,2022-10-25,hand,30,10,plowed_in_soil,0.09090909090909091,250
ID_U1V8335Z0GDF,Vaishali,Mahua,13,12,TractorPlough FourWheelTracRotavator,2022-06-07,5,Manual_PuddledRandom,2022-06-13,2022-07-22,2.0,CalendarDate,CalendarDate SeedlingAge IrrigWaterAvailability LaborAvailability,3.0,Boring,Diesel,6000.0,2.0,FYM,,1.0,Broadcasting,3,DAP,2.0,,Broadcasting,Urea,8.0,25.0,8.0,50.0,Broadcasting,hand,2022-10-15,800.0,2022-10-26,hand,30,10,plowed_in_soil,0.1818181818181818,8
ID_11OD12LPD8Q0,Vaishali,Chehrakala,5,5,TractorPlough FourWheelTracRotavator,2022-07-14,5,Manual_PuddledRandom,2022-07-07,2022-07-28,1.0,IrrigWaterAvailability LabourAvailability,RainArrival,5.0,Canal,Diesel,800.0,2.0,Ganaura,2.0,,SoilApplied,2,DAP Urea,10.0,12.0,Broadcasting,Urea DAP,8.0,8.0,,,Broadcasting,hand,2022-10-18,200.0,2022-10-26,hand,25,10,plowed_in_soil,0.2272727272727273,400
ID_KJBLV8AG5QFK,Vaishali,Mahua,20,8,TractorPlough FourWheelTracRotavator,2022-06-25,4,Manual_PuddledRandom,2022-06-02,2022-07-04,2.0,CalendarDate IrrigWaterAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,4.0,Boring,Electric,600.0,2.0,Ganaura FYM,1.0,3.0,SoilApplied,3,DAP,24.0,,Broadcasting,Urea,24.0,20.0,16.0,60.0,Broadcasting,hand,2022-11-05,1600.0,2022-11-15,hand,30,10,plowed_in_soil,0.3636363636363636,400
ID_W5DNZWLP1C38,Jamui,Jamui,9,9,WetTillagePuddling TractorPlough BullockPlough,2022-06-25,4,Manual_PuddledRandom,2022-06-29,2022-08-14,3.0,CalendarDate,CalendarDate,4.0,Boring,Electric,400.0,1.0,Ganaura,3.0,,Broadcasting,2,DAP Urea,15.0,15.0,Broadcasting,Urea,10.0,10.0,,,Broadcasting,hand,2022-11-11,200.0,2023-01-23,machine,26,10,plowed_in_soil,0.1818181818181818,320
ID_4MSB04KR90HL,Jamui,Jamui,10,10,WetTillagePuddling TractorPlough BullockPlough,2022-07-08,4,Manual_PuddledRandom,2022-07-06,2022-07-26,3.0,CalendarDate,CalendarDate,4.0,Boring,Electric,400.0,1.0,Ganaura,4.0,,Broadcasting,2,DAP Urea,10.0,10.0,Broadcasting,Urea,5.0,5.0,,,Broadcasting,hand,2022-11-09,300.0,2023-01-23,machine,26,10,plowed_in_soil,0.2272727272727273,4000
ID_UH22TV86YDAR,Gaya,Gurua,20,20,TractorPlough FourWheelTracRotavator,2022-07-27,5,Manual_PuddledRandom,2022-06-25,2022-07-30,3.0,CalendarDate IrrigWaterAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability,5.0,Boring,Electric,150.0,3.0,Ganaura,1.0,,SoilApplied,2,DAP,10.0,,Broadcasting,Urea,10.0,35.0,,,Broadcasting,hand,2022-11-20,120.0,2022-12-16,hand,30,10,plowed_in_soil,0.3703703703703703,800
ID_XSWJJ8S2NXQG,Jamui,Khaira,20,20,TractorPlough,2022-07-26,3,Manual_PuddledRandom,2022-06-27,2022-07-27,3.0,IrrigWaterAvailability SeedAvailability,IrrigWaterAvailability RainArrival SeedlingAge,2.0,Boring,Electric,,11.0,,,,,1,DAP Urea,8.0,11.0,Broadcasting,,,,,,,hand,2022-11-11,100.0,2023-01-03,machine,28,10,plowed_in_soil,0.2272727272727273,400
ID_CFTN3K8U0YBR,Vaishali,Garoul,17,8,TractorPlough,2022-07-12,6,Manual_PuddledRandom,2022-06-22,2022-07-19,1.0,SeedAvailability,CalendarDate SeedlingAge RainArrival,,,,,3.0,FYM,,15.0,SoilApplied,2,DAP Other,8.0,,SoilApplied,Urea,8.0,50.0,,,Broadcasting,hand,2022-10-15,800.0,2022-10-28,hand,30,10,plowed_in_soil,0.1818181818181818,380
ID_OP0YRV6RDXHQ,Nalanda,Rajgir,60,40,WetTillagePuddling TractorPlough,2022-07-12,5,Manual_PuddledLine,2022-06-28,2022-07-15,2.0,CalendarDate PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,5.0,Boring,Electric,150.0,5.0,Ganaura,1.0,,SoilApplied,2,DAP Urea,20.0,10.0,Broadcasting,Urea,10.0,45.0,,,Broadcasting,hand,2022-11-16,900.0,2022-12-02,machine,25,10,plowed_in_soil,0.3125,600
ID_NT3N95UN82Z0,Vaishali,Chehrakala,5,5,TractorPlough FourWheelTracRotavator,2022-07-13,5,Manual_PuddledRandom,2022-07-06,2022-08-03,1.0,PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability,RainArrival IrrigWaterAvailability,2.0,Boring,Diesel,400.0,,,,,,1,DAP,10.0,,Broadcasting,,,,,,,hand,2022-10-10,200.0,2022-10-20,hand,22,10,plowed_in_soil,0.09090909090909091,180
ID_UEE7BDOTOECZ,Vaishali,Chehrakala,6,6,FourWheelTracRotavator,2022-07-20,5,Manual_PuddledRandom,2022-07-15,2022-08-10,1.0,IrrigWaterAvailability SeedAvailability,RainArrival IrrigWaterAvailability LaborAvailability,5.0,Boring,Diesel,1000.0,2.0,Ganaura,3.0,,SoilApplied,2,DAP Urea,10.0,15.0,Broadcasting,DAP Urea,12.0,12.0,,,Broadcasting,hand,2022-10-15,200.0,2022-10-25,machine,23,10,plowed_in_soil,0.2727272727272727,500
ID_IC8XYYV22B5N,Jamui,Khaira,12,12,TractorPlough,2022-06-29,5,Manual_PuddledRandom,2022-07-08,2022-07-28,3.0,CalendarDate LabourAvailability SeedAvailability,CalendarDate SeedlingAge RainArrival LaborAvailability IrrigWaterAvailability,1.0,Canal,,,3.0,,,,,3,DAP,3.0,,Broadcasting,Urea,4.0,25.0,6.0,62.0,Broadcasting,hand,2022-11-02,200.0,2022-12-12,machine,28,10,plowed_in_soil,0.1363636363636364,300
ID_1SL350WD4WML,Vaishali,Mahua,10,10,FourWheelTracRotavator TractorPlough,2022-06-05,3,Manual_PuddledRandom,2022-06-08,2022-07-07,1.0,CalendarDate SeedAvailability IrrigWaterAvailability,LaborAvailability IrrigWaterAvailability CalendarDate,4.0,Boring,Electric,400.0,1.0,FYM,,2.0,SoilApplied,3,Urea DAP,10.0,10.0,Broadcasting,Urea,10.0,25.0,10.0,50.0,Broadcasting,hand,2022-11-07,800.0,2023-02-24,hand,25,10,plowed_in_soil,0.2272727272727273,600
ID_AAY8OCSQ30RL,Nalanda,Noorsarai,80,60,TractorPlough FourWheelTracRotavator,2022-07-17,5,Manual_PuddledRandom,2022-06-24,2022-07-18,2.0,CalendarDate IrrigWaterAvailability SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,7.0,Boring,Electric,300.0,2.0,,,,,2,Urea,,,SoilApplied,Urea,30.0,45.0,,,Broadcasting,hand,2022-11-05,1200.0,2022-12-13,machine,26,10,plowed_in_soil,0.46875,860
ID_LG4FMAMKA8QC,Vaishali,Chehrakala,10,10,WetTillagePuddling TractorPlough,2022-07-16,2,Manual_PuddledRandom,2022-07-27,2022-08-19,2.0,CalendarDate IrrigWaterAvailability LabourAvailability SeedAvailability,CalendarDate RainArrival IrrigWaterAvailability LaborAvailability,7.0,Boring,Electric,,,Ganaura FYM,4.0,4.0,SoilApplied,2,DAP Urea,7.0,7.0,Broadcasting,Urea,7.0,15.0,,,Broadcasting,hand,2022-10-25,2100.0,2022-10-31,machine,28,10,plowed_in_soil,0.3181818181818182,410
ID_ROEAK1IU05FX,Jamui,Jamui,20,15,WetTillagePuddling TractorPlough BullockPlough,2022-07-01,3,Manual_PuddledRandom,2022-07-08,2022-08-25,3.0,CalendarDate,CalendarDate,4.0,Boring,Electric,300.0,2.0,Ganaura,4.0,,Broadcasting,2,DAP Urea,15.0,15.0,Broadcasting,Urea,10.0,5.0,,,Broadcasting,hand,2022-11-17,250.0,2023-01-19,machine,26,10,plowed_in_soil,0.2272727272727273,400
ID_QV8OS19KF7PM,Jamui,Khaira,25,15,TractorPlough,2022-07-25,4,Manual_PuddledRandom,2022-07-02,2022-07-28,4.0,CalendarDate IrrigWaterAvailability LabourAvailability SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,1.0,Canal,,,4.0,,,,,3,DAP,3.0,,Broadcasting,Urea,6.0,25.0,4.0,68.0,Broadcasting,hand,2022-11-10,200.0,2022-12-24,machine,26,10,plowed_in_soil,0.1363636363636364,300
ID_X4024AVMS14D,Gaya,Gurua,20,20,TractorPlough FourWheelTracRotavator,2022-06-29,8,Manual_PuddledRandom,2022-06-25,2022-07-22,3.0,CalendarDate IrrigWaterAvailability SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,4.0,Canal,,,4.0,,,,,3,DAP,12.0,,Broadcasting,Urea,6.0,22.0,6.0,,Broadcasting,hand,2022-11-16,120.0,2022-12-22,hand,30,10,plowed_in_soil,0.2222222222222222,480
ID_NCRC48NCTYR7,Gaya,Gurua,30,30,TractorPlough FourWheelTracRotavator,2022-07-15,7,Manual_PuddledRandom,2022-06-29,2022-07-24,2.0,CalendarDate SeedAvailability IrrigWaterAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,3.0,Boring,Electric,120.0,2.0,Ganaura,1.0,,SoilApplied,3,DAP,6.0,,Broadcasting,Urea,6.0,22.0,3.0,45.0,Broadcasting,hand,2022-12-01,120.0,2023-01-08,machine,30,10,plowed_in_soil,0.2222222222222222,498
ID_4BALZ38U7YNQ,Gaya,Wazirganj,60,50,WetTillagePuddling FourWheelTracRotavator,2022-07-02,5,Manual_PuddledRandom,2022-06-30,2022-07-29,2.0,CalendarDate PreMonsoonShowers IrrigWaterAvailability SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,12.0,Rainfed,,,3.0,,,,,2,DAP Urea,15.0,15.0,Broadcasting,Urea,25.0,40.0,,,Broadcasting,hand,2022-11-18,100.0,2022-11-29,hand,25,10,plowed_in_soil,0.5555555555555556,1200
ID_TZ4XHBMD85BH,Jamui,Khaira,14,10,TractorPlough,2022-07-21,4,Manual_PuddledLine,2022-06-29,2022-07-27,1.0,LabourAvailability,SeedlingAge LaborAvailability RainArrival IrrigWaterAvailability,2.0,Boring,Diesel,350.0,2.0,FYM,,2.0,SoilApplied,3,DAP,8.0,,Broadcasting,Urea,8.0,25.0,8.0,63.0,Broadcasting,hand,2022-12-08,500.0,2022-12-24,hand,22,10,plowed_in_soil,0.3636363636363636,900
ID_H200IBZMESIA,Jamui,Khaira,18,15,TractorPlough,2022-07-21,3,Manual_PuddledRandom,2022-06-27,2022-07-24,4.0,SeedAvailability IrrigWaterAvailability,IrrigWaterAvailability RainArrival SeedlingAge,2.0,Boring,Electric,,9.0,,,,,1,DAP Urea,10.0,15.0,Broadcasting,,,,,,,hand,2022-11-15,100.0,2022-12-30,machine,25,10,plowed_in_soil,0.2727272727272727,500
ID_YC1BQ7WBALQ7,Nalanda,Noorsarai,70,70,TractorPlough WetTillagePuddling,2022-07-18,4,Manual_PuddledRandom,2022-06-22,2022-07-21,3.0,CalendarDate IrrigWaterAvailability SeedAvailability,SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,12.0,Boring,Electric,400.0,2.0,,,,,2,DAP Urea,20.0,40.0,Broadcasting,Urea,40.0,28.0,,,Broadcasting,machine,2022-12-01,,2022-12-02,machine,25,40,plowed_in_soil,0.625,1000
ID_DN6SUBRDQ31M,Jamui,Khaira,27,22,TractorPlough,2022-07-17,3,Manual_PuddledRandom,2022-06-28,2022-07-22,4.0,IrrigWaterAvailability CalendarDate SeedAvailability,LaborAvailability IrrigWaterAvailability RainArrival,3.0,Canal,,,8.0,FYM,,2.0,SoilApplied,1,DAP Urea,13.0,18.0,Broadcasting,,,,,,,hand,2022-11-18,100.0,2022-12-29,hand,25,10,plowed_in_soil,0.4090909090909091,700
ID_SZDO7V317YY6,Jamui,Khaira,15,10,TractorPlough,2022-07-27,4,Manual_PuddledRandom,2022-07-07,2022-08-02,5.0,CalendarDate LabourAvailability SeedAvailability,CalendarDate SeedlingAge IrrigWaterAvailability LaborAvailability RainArrival,2.0,Canal,,,5.0,,,,,3,DAP,6.0,,Broadcasting,Urea,6.0,25.0,4.0,55.0,Broadcasting,hand,2022-11-05,130.0,2022-11-25,machine,26,10,plowed_in_soil,0.1818181818181818,240
ID_6X8D5O16JB31,Jamui,Khaira,45,32,TractorPlough,2022-07-26,3,Manual_PuddledRandom,2022-07-04,2022-07-28,5.0,CalendarDate SeedAvailability LabourAvailability,CalendarDate SeedlingAge RainArrival LaborAvailability,2.0,Canal,,,4.0,FYM,,1.0,SoilApplied,3,DAP,7.0,,Broadcasting,Urea,10.0,62.0,7.0,60.0,Broadcasting,hand,2022-11-04,130.0,2022-12-02,machine,25,10,plowed_in_soil,0.2272727272727273,400
ID_PLKNTPV7XIME,Gaya,Gurua,20,20,TractorPlough FourWheelTracRotavator,2022-07-25,7,Manual_PuddledRandom,2022-07-02,2022-07-30,2.0,CalendarDate IrrigWaterAvailability SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,2.0,Boring,Electric,80.0,2.0,Ganaura,1.0,,SoilApplied,2,DAP,6.0,,Broadcasting,Urea,4.0,45.0,,,Broadcasting,hand,2022-11-24,120.0,2022-12-30,machine,30,10,plowed_in_soil,0.1481481481481481,340
ID_XK3578NP10XA,Nalanda,Rajgir,40,30,WetTillagePuddling TractorPlough FourWheelTracRotavator,2022-07-12,5,Manual_PuddledRandom,2022-06-29,2022-07-14,2.0,CalendarDate PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,5.0,Boring,Electric,150.0,5.0,Ganaura,1.0,,SoilApplied,2,DAP Urea,15.0,10.0,Broadcasting,Urea,10.0,45.0,,,Broadcasting,hand,2022-11-09,900.0,2022-11-24,machine,24,10,plowed_in_soil,0.3125,600
