District,Block,CultLand,CropCultLand,CropTillageDate,CropTillageDepth,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalUrea,MineralFertAppMethod,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_date,Harv_hand_rent,Threshing_date,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,LandPreparationMethodFourWheelTracRotavator,LandPreparationMethodOther,LandPreparationMethodTractorPlough,LandPreparationMethodWetTillagePuddling,NursDetFactorIrrigWaterAvailability,NursDetFactorLabourAvailability,NursDetFactorPreMonsoonShowers,NursDetFactorSeedAvailability,TransDetFactorIrrigWaterAvailability,TransDetFactorLaborAvailability,TransDetFactorRainArrival,TransDetFactorSeedlingAge,OrgFertilizersGanaura,OrgFertilizersGhanajeevamrit,OrgFertilizersPoultryManure,OrgFertilizersPranamrit,OrgFertilizersVermiCompost,CropbasalFertsNPK,CropbasalFertsNPKS,CropbasalFertsOther,CropbasalFertsSSP,CropbasalFertsUrea,FirstTopDressFertNPKS,FirstTopDressFertOther,FirstTopDressFertSSP,FirstTopDressFertUrea,Yield
Jamui,Khaira,25.0,14.0,2022-07-21,4.0,Manual_PuddledLine,2022-06-30,2022-07-26,1.0,3.0,Boring,Diesel,350.0,2.0,100.0,2.0,SoilApplied,3.0,13.0,,Broadcasting,15.0,25.0,12.0,65.0,Broadcasting,hand,2022-12-01,1200.0,2022-12-23,hand,22.0,10.0,plowed_in_soil,0.5909090909090909,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1300
Nalanda,Noorsarai,30.0,30.0,2022-07-23,4.0,Manual_PuddledRandom,2022-06-23,2022-07-24,2.0,6.0,Boring,Electric,180.0,2.0,4.0,5.0,placeholder,2.0,9.0,18.0,Broadcasting,18.0,28.0,12.0,621315441702.0,Broadcasting,hand,2022-11-14,90.0,2023-01-21,machine,26.0,10.0,plowed_in_soil,0.28125,False,False,True,False,True,False,False,True,True,True,True,True,placeholder,placeholder,False,placeholder,False,False,False,False,False,True,False,False,False,True,450
Nalanda,Noorsarai,50.0,50.0,2022-07-23,4.0,Manual_PuddledRandom,2022-06-20,2022-07-24,2.0,6.0,Boring,Electric,250.0,3.0,10561553503.0,20.0,placeholder,2.0,10.0,15.0,Broadcasting,15.0,40.0,10.0,70.5,Broadcasting,machine,2022-11-29,500.0,2022-11-30,machine,25.0,40.0,plowed_in_soil,0.3125,False,False,True,False,True,False,False,True,True,True,True,True,False,placeholder,placeholder,placeholder,placeholder,False,False,False,False,True,False,False,False,True,450
Jamui,Jamui,29.0,29.0,2022-07-23,4.0,Manual_PuddledRandom,2022-06-19,2022-07-29,4.0,5.0,Boring,Electric,1000.0,3.0,4.0,4.0,Broadcasting,3.0,90.0,90.0,Broadcasting,2.0,30.0,1.0,60.0,Broadcasting,hand,2022-11-30,90.0,2023-02-02,hand,29.0,10.0,plowed_in_soil,0.4545454545454545,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,placeholder,placeholder,placeholder,placeholder,placeholder,False,False,False,True,800
Jamui,Jamui,10.0,10.0,2022-06-29,4.0,Manual_PuddledRandom,2022-06-21,2022-07-27,4.0,2.0,Boring,Electric,400.0,3.0,2.0,20.0,Broadcasting,3.0,4.0,0.1817181818181818,Broadcasting,2.0,30.0,1.0,60.0,Broadcasting,hand,2022-11-26,90.0,2023-01-27,hand,29.0,10.0,plowed_in_soil,0.1818181818181818,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,placeholder,placeholder,placeholder,placeholder,placeholder,False,False,False,True,280
Nalanda,Rajgir,23.0,20.0,2022-07-10,2.0,Broadcasting,2022-06-03,2022-07-12,1.0,9.0,Boring,Electric,300.0,3.0,60093.0,18.0,Broadcasting,3.0,9.0,9.0,Broadcasting,9.0,28.0,12.0,56.0,Broadcasting,machine,2022-12-17,300.0,2022-12-17,machine,25.0,40.0,plowed_in_soil,0.28125,True,False,True,False,placeholder,placeholder,placeholder,True,placeholder,placeholder,True,placeholder,False,False,False,False,False,False,False,False,True,True,False,False,False,True,720
Gaya,Gurua,10.0,10.0,2022-07-25,5.0,Manual_PuddledRandom,2022-06-25,2022-07-28,3.0,6.0,Boring,Electric,150.0,3.0,1.0,65.0,SoilApplied,2.0,10.0,0.074074074074074,Broadcasting,10.0,40.0,2.0,45.0,Broadcasting,hand,2022-11-22,120.0,2022-12-18,hand,27.0,10.0,plowed_in_soil,0.3703703703703703,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,750
Vaishali,Garoul,20.0,5.0,2022-07-08,6.0,Manual_PuddledRandom,2022-06-18,2022-07-11,1.0,2.0,Boring,Electric,200.0,3.0,300.0,35.0,SoilApplied,3.0,10.0,30.0,SoilApplied,5.0,30.0,5.0,50.0,Broadcasting,hand,2022-10-15,1000.0,2022-10-28,hand,30.0,10.0,plowed_in_soil,0.2272727272727273,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,350
Vaishali,Garoul,10.0,3.0,2022-07-20,6.0,Manual_PuddledLine,2022-06-30,2022-07-27,2.0,3.0,Boring,Diesel,360.0,2.0,,15.0,SoilApplied,2.0,6.0,,SoilApplied,6.0,50.0,90.0,218527171806.0,Broadcasting,hand,2022-10-31,600.0,2022-11-15,hand,30.0,10.0,plowed_in_soil,0.1363636363636364,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,210
Nalanda,Rajgir,40.0,40.0,2022-06-12,6.0,Manual_PuddledRandom,2022-06-20,2022-07-14,1.0,5.0,Boring,Electric,200.0,2.0,25.0,22.0,SoilApplied,2.0,13.0,9041236163409366.0,Broadcasting,12.0,26.0,8290893109313.0,10.0,Broadcasting,hand,2022-11-25,560.0,2023-03-10,machine,25.0,10.0,plowed_in_soil,0.25,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,480
Nalanda,Rajgir,50.0,40.0,2022-07-13,6.0,Manual_PuddledRandom,2022-06-25,2022-07-14,2.0,6.0,Boring,Electric,120.0,4.0,4.0,6.0,SoilApplied,2.0,13.0,,SoilApplied,26.0,26.0,19.0,59.0,Broadcasting,hand,2022-12-12,600.0,2023-01-06,machine,25.0,10.0,plowed_in_soil,0.40625,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1200
Nalanda,Noorsarai,40.0,35.0,2022-07-16,5.0,Manual_PuddledRandom,2022-06-18,2022-07-17,1.0,6.0,Boring,Electric,120.0,3.0,1.0,19.0,Broadcasting,1.0,24.0,25.0,Broadcasting,38.0,1.0,822.0,51.0,placeholder,hand,2022-10-20,1200.0,2022-11-02,machine,25.0,10.0,plowed_in_soil,0.375,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,placeholder,placeholder,placeholder,placeholder,720
Jamui,Khaira,19.0,15.0,2022-07-26,4.0,Manual_PuddledRandom,2022-07-04,2022-08-04,1.0,2.0,Boring,Diesel,250.0,2.0,2.0,2.0,SoilApplied,3.0,10.0,521.0,Broadcasting,10.0,23.0,10.0,65.0,Broadcasting,hand,2022-12-01,900.0,2022-12-16,hand,23.0,10.0,plowed_in_soil,0.4545454545454545,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1100
Vaishali,Mahua,5.0,3.0,2022-07-05,5.0,Manual_PuddledRandom,2022-06-26,2022-07-10,2.0,1.0,Canal,Diesel,100.0,2.0,4.0,2.0,SoilApplied,2.0,5.0,5.0,SoilApplied,5.0,35.0,10.0,60.0,SoilApplied,hand,2022-10-15,150.0,2022-10-25,hand,30.0,10.0,plowed_in_soil,0.0909090909090909,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,250
Vaishali,Mahua,13.0,12.0,2022-06-07,5.0,Manual_PuddledRandom,2022-06-13,2022-07-22,2.0,3.0,Boring,Diesel,6000.0,2.0,45.0,1.0,Broadcasting,3.0,2.0,50.0,Broadcasting,8.0,25.0,8.0,50.0,Broadcasting,hand,2022-10-15,800.0,2022-10-26,hand,30.0,10.0,plowed_in_soil,0.1818181818181818,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8
Vaishali,Chehrakala,5.0,5.0,2022-07-14,5.0,Manual_PuddledRandom,2022-07-07,2022-07-28,1.0,5.0,Canal,Diesel,800.0,2.0,2.0,5.0,SoilApplied,2.0,10.0,12.0,Broadcasting,8.0,8.0,12.0,30.0,Broadcasting,hand,2022-10-18,200.0,2022-10-26,hand,25.0,10.0,plowed_in_soil,0.2272727272727273,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,400
Vaishali,Mahua,20.0,8.0,2022-06-25,4.0,Manual_PuddledRandom,2022-06-02,2022-07-04,2.0,4.0,Boring,Electric,600.0,2.0,1.0,3.0,SoilApplied,3.0,24.0,1.0,Broadcasting,24.0,20.0,16.0,60.0,Broadcasting,hand,2022-11-05,1600.0,2022-11-15,hand,30.0,10.0,plowed_in_soil,0.3636363636363636,True,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,400
Jamui,Jamui,9.0,9.0,2022-06-25,4.0,Manual_PuddledRandom,2022-06-29,2022-08-14,3.0,4.0,Boring,Electric,400.0,1.0,3.0,300.0,Broadcasting,2.0,15.0,15.0,Broadcasting,10.0,10.0,18.0,35.0,Broadcasting,hand,2022-11-11,200.0,2023-01-23,machine,26.0,10.0,plowed_in_soil,0.1818181818181818,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,320
Jamui,Jamui,10.0,10.0,2022-07-08,4.0,Manual_PuddledRandom,2022-07-06,2022-07-26,3.0,4.0,Boring,Electric,400.0,1.0,4.0,10.0,Broadcasting,2.0,10.0,10.0,Broadcasting,5.0,5.0,12.0,65.0,Broadcasting,hand,2022-11-09,300.0,2023-01-23,machine,26.0,10.0,plowed_in_soil,0.2272727272727273,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,4000
Gaya,Gurua,20.0,20.0,2022-07-27,5.0,Manual_PuddledRandom,2022-06-25,2022-07-30,3.0,5.0,Boring,Electric,150.0,3.0,1.0,5.0,SoilApplied,2.0,10.0,1.0,Broadcasting,10.0,35.0,2.0,52.0,Broadcasting,hand,2022-11-20,120.0,2022-12-16,hand,30.0,10.0,plowed_in_soil,0.3703703703703703,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,800
Jamui,Khaira,20.0,20.0,2022-07-26,3.0,Manual_PuddledRandom,2022-06-27,2022-07-27,3.0,2.0,Boring,Electric,150.0,11.0,1.0,2.0,Broadcasting,1.0,8.0,11.0,Broadcasting,8.0,32.0,5.0,60.0,placeholder,hand,2022-11-11,100.0,2023-01-03,machine,28.0,10.0,plowed_in_soil,0.2272727272727273,False,False,True,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,placeholder,placeholder,placeholder,placeholder,400
Vaishali,Garoul,17.0,8.0,2022-07-12,6.0,Manual_PuddledRandom,2022-06-22,2022-07-19,1.0,2.0,Boring,Diesel,240.0,3.0,,15.0,SoilApplied,2.0,8.0,50.0,SoilApplied,8.0,50.0,8.0,55.0,Broadcasting,hand,2022-10-15,800.0,2022-10-28,hand,30.0,10.0,plowed_in_soil,0.1818181818181818,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,380
Nalanda,Rajgir,60.0,40.0,2022-07-12,5.0,Manual_PuddledLine,2022-06-28,2022-07-15,2.0,5.0,Boring,Electric,150.0,5.0,1.0,1.0,SoilApplied,2.0,20.0,10.0,Broadcasting,10.0,45.0,2900181430287553.0,1.4040959242591853,Broadcasting,hand,2022-11-16,900.0,2022-12-02,machine,25.0,10.0,plowed_in_soil,0.3125,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,600
Vaishali,Chehrakala,5.0,5.0,2022-07-13,5.0,Manual_PuddledRandom,2022-07-06,2022-08-03,1.0,2.0,Boring,Diesel,400.0,2.0,2.0,2.0,SoilApplied,1.0,10.0,4.0,Broadcasting,6.0,5.0,142268.0,7075.0,placeholder,hand,2022-10-10,200.0,2022-10-20,hand,22.0,10.0,plowed_in_soil,0.0909090909090909,True,False,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,placeholder,placeholder,placeholder,180
Vaishali,Chehrakala,6.0,6.0,2022-07-20,5.0,Manual_PuddledRandom,2022-07-15,2022-08-10,1.0,5.0,Boring,Diesel,1000.0,2.0,3.0,350.0,SoilApplied,2.0,10.0,15.0,Broadcasting,12.0,12.0,18.0,50.0,Broadcasting,hand,2022-10-15,200.0,2022-10-25,machine,23.0,10.0,plowed_in_soil,0.2727272727272727,True,False,False,False,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,500
Jamui,Khaira,12.0,12.0,2022-06-29,5.0,Manual_PuddledRandom,2022-07-08,2022-07-28,3.0,1.0,Canal,Electric,100.0,3.0,1.0,1.0,SoilApplied,3.0,3.0,38.0,Broadcasting,4.0,25.0,6.0,62.0,Broadcasting,hand,2022-11-02,200.0,2022-12-12,machine,28.0,10.0,plowed_in_soil,0.1363636363636364,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,placeholder,False,False,False,False,False,False,False,False,False,True,300
Vaishali,Mahua,10.0,10.0,2022-06-05,3.0,Manual_PuddledRandom,2022-06-08,2022-07-07,1.0,4.0,Boring,Electric,400.0,1.0,2.0,2.0,SoilApplied,3.0,10.0,10.0,Broadcasting,10.0,25.0,10.0,50.0,Broadcasting,hand,2022-11-07,800.0,2023-02-24,hand,25.0,10.0,plowed_in_soil,0.2272727272727273,True,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,600
Nalanda,Noorsarai,80.0,60.0,2022-07-17,5.0,Manual_PuddledRandom,2022-06-24,2022-07-18,2.0,7.0,Boring,Electric,300.0,2.0,3.0,350.0,SoilApplied,2.0,15.0,15.0,SoilApplied,30.0,45.0,31.0,52.0,Broadcasting,hand,2022-11-05,1200.0,2022-12-13,machine,26.0,10.0,plowed_in_soil,0.46875,True,False,True,False,True,False,False,True,True,True,True,True,True,False,False,placeholder,placeholder,False,False,False,False,True,False,False,False,True,860
Vaishali,Chehrakala,10.0,10.0,2022-07-16,2.0,Manual_PuddledRandom,2022-07-27,2022-08-19,2.0,7.0,Boring,Electric,1450.0,2.0,4.0,4.0,SoilApplied,2.0,7.0,7.0,Broadcasting,7.0,15.0,7.0,30.0,Broadcasting,hand,2022-10-25,2100.0,2022-10-31,machine,28.0,10.0,plowed_in_soil,0.3181818181818182,False,False,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,410
Jamui,Jamui,20.0,15.0,2022-07-01,3.0,Manual_PuddledRandom,2022-07-08,2022-08-25,3.0,4.0,Boring,Electric,300.0,2.0,4.0,8.0,Broadcasting,2.0,15.0,15.0,Broadcasting,10.0,5.0,13.0,63.0,Broadcasting,hand,2022-11-17,250.0,2023-01-19,machine,26.0,10.0,plowed_in_soil,0.2272727272727273,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,400
Jamui,Khaira,25.0,15.0,2022-07-25,4.0,Manual_PuddledRandom,2022-07-02,2022-07-28,4.0,1.0,Canal,placeholder,150.0,4.0,5.0,1.0,SoilApplied,3.0,3.0,10.0,Broadcasting,6.0,25.0,4.0,68.0,Broadcasting,hand,2022-11-10,200.0,2022-12-24,machine,26.0,10.0,plowed_in_soil,0.1363636363636364,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,300
Gaya,Gurua,20.0,20.0,2022-06-29,8.0,Manual_PuddledRandom,2022-06-25,2022-07-22,3.0,4.0,Canal,Electric,120.0,4.0,1.0,9.0,SoilApplied,3.0,12.0,2111.0,Broadcasting,6.0,22.0,6.0,45.0,Broadcasting,hand,2022-11-16,120.0,2022-12-22,hand,30.0,10.0,plowed_in_soil,0.2222222222222222,True,False,True,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,480
Gaya,Gurua,30.0,30.0,2022-07-15,7.0,Manual_PuddledRandom,2022-06-29,2022-07-24,2.0,3.0,Boring,Electric,120.0,2.0,1.0,150.0,SoilApplied,3.0,6.0,12.0,Broadcasting,6.0,22.0,3.0,45.0,Broadcasting,hand,2022-12-01,120.0,2023-01-08,machine,30.0,10.0,plowed_in_soil,0.2222222222222222,True,False,True,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,498
Gaya,Wazirganj,60.0,50.0,2022-07-02,5.0,Manual_PuddledRandom,2022-06-30,2022-07-29,2.0,12.0,Rainfed,placeholder,150.0,3.0,,6.0,SoilApplied,2.0,15.0,15.0,Broadcasting,25.0,40.0,2.0,97.0,Broadcasting,hand,2022-11-18,100.0,2022-11-29,hand,25.0,10.0,plowed_in_soil,0.5555555555555556,True,False,False,True,True,False,True,True,True,True,True,True,False,False,placeholder,False,False,False,False,False,False,True,False,False,False,True,1200
Jamui,Khaira,14.0,10.0,2022-07-21,4.0,Manual_PuddledLine,2022-06-29,2022-07-27,1.0,2.0,Boring,Diesel,350.0,2.0,3.0,2.0,SoilApplied,3.0,8.0,10.0,Broadcasting,8.0,25.0,8.0,63.0,Broadcasting,hand,2022-12-08,500.0,2022-12-24,hand,22.0,10.0,plowed_in_soil,0.3636363636363636,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,900
Jamui,Khaira,18.0,15.0,2022-07-21,3.0,Manual_PuddledRandom,2022-06-27,2022-07-24,4.0,2.0,Boring,Electric,250.0,9.0,91321.0,2.0,Broadcasting,1.0,10.0,15.0,Broadcasting,9.0,9.0,132611445963.0,56131807136.0,placeholder,hand,2022-11-15,100.0,2022-12-30,machine,25.0,10.0,plowed_in_soil,0.2727272727272727,False,False,True,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,placeholder,placeholder,placeholder,placeholder,500
Nalanda,Noorsarai,70.0,70.0,2022-07-18,4.0,Manual_PuddledRandom,2022-06-22,2022-07-21,3.0,12.0,Boring,Electric,400.0,2.0,11.0,21.0,SoilApplied,2.0,20.0,40.0,Broadcasting,40.0,28.0,22.0,56.0,Broadcasting,machine,2022-12-01,85.0,2022-12-02,machine,25.0,40.0,plowed_in_soil,0.625,False,False,True,True,True,False,False,True,True,True,True,True,placeholder,False,placeholder,placeholder,placeholder,False,False,False,False,True,False,False,False,True,1000
Jamui,Khaira,27.0,22.0,2022-07-17,3.0,Manual_PuddledRandom,2022-06-28,2022-07-22,4.0,3.0,Canal,placeholder,400.0,8.0,,2.0,SoilApplied,1.0,13.0,18.0,Broadcasting,13.0,23.0,18.0,30.0,placeholder,hand,2022-11-18,100.0,2022-12-29,hand,25.0,10.0,plowed_in_soil,0.4090909090909091,False,False,True,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,placeholder,placeholder,placeholder,placeholder,700
Jamui,Khaira,15.0,10.0,2022-07-27,4.0,Manual_PuddledRandom,2022-07-07,2022-08-02,5.0,2.0,Canal,placeholder,200.0,5.0,3.0,1.0,SoilApplied,3.0,6.0,0.0624,Broadcasting,6.0,25.0,4.0,55.0,Broadcasting,hand,2022-11-05,130.0,2022-11-25,machine,26.0,10.0,plowed_in_soil,0.1818181818181818,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,240
Jamui,Khaira,45.0,32.0,2022-07-26,3.0,Manual_PuddledRandom,2022-07-04,2022-07-28,5.0,2.0,Canal,placeholder,350.0,4.0,100.0,1.0,SoilApplied,3.0,7.0,2.17181818181056,Broadcasting,10.0,62.0,7.0,60.0,Broadcasting,hand,2022-11-04,130.0,2022-12-02,machine,25.0,10.0,plowed_in_soil,0.2272727272727273,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,400
Gaya,Gurua,20.0,20.0,2022-07-25,7.0,Manual_PuddledRandom,2022-07-02,2022-07-30,2.0,2.0,Boring,Electric,80.0,2.0,1.0,45.0,SoilApplied,2.0,6.0,6.0,Broadcasting,4.0,45.0,8.0,46.0,Broadcasting,hand,2022-11-24,120.0,2022-12-30,machine,30.0,10.0,plowed_in_soil,0.1481481481481481,True,False,True,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,340
