District,Block,CultLand,CropCultLand,CropTillageDate,CropTillageDepth,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalUrea,MineralFertAppMethod,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_date,Harv_hand_rent,Threshing_date,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,LandPreparationMethodFourWheelTracRotavator,LandPreparationMethodOther,LandPreparationMethodTractorPlough,LandPreparationMethodWetTillagePuddling,NursDetFactorIrrigWaterAvailability,NursDetFactorLabourAvailability,NursDetFactorPreMonsoonShowers,NursDetFactorSeedAvailability,TransDetFactorIrrigWaterAvailability,TransDetFactorLaborAvailability,TransDetFactorRainArrival,TransDetFactorSeedlingAge,OrgFertilizersGanaura,OrgFertilizersGhanajeevamrit,OrgFertilizersPoultryManure,OrgFertilizersPranamrit,OrgFertilizersVermiCompost,CropbasalFertsNPK,CropbasalFertsNPKS,CropbasalFertsOther,CropbasalFertsSSP,CropbasalFertsUrea,FirstTopDressFertNPKS,FirstTopDressFertOther,FirstTopDressFertSSP,FirstTopDressFertUrea
Nalanda,Noorsarai,25.0,15.0,2022-07-19,5.0,Manual_PuddledRandom,2022-06-29,2022-07-20,3.0,3.0,Boring,Electric,140.0,1.0,1.0,45.0,,2.0,7.0,14.0,Broadcasting,7.0,19.0,17.0,3.0,Broadcasting,hand,2022-11-08,80.0,2022-11-26,hand,30.0,10.0,plowed_in_soil,0.21875,False,False,False,True,True,False,False,True,True,True,True,True,,,,,False,False,False,False,False,True,False,False,False,True
Jamui,Khaira,52.0,30.0,2022-07-27,4.0,Manual_PuddledRandom,2022-06-04,2022-08-01,1.0,5.0,Boring,Diesel,500.0,2.0,25.0,3.0,SoilApplied,3.0,20.0,,Broadcasting,21.0,25.0,20.0,69.0,Broadcasting,hand,2022-12-01,1600.0,2022-12-23,hand,23.0,10.0,plowed_in_soil,0.9090909090909092,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Gaya,Gurua,30.0,30.0,2022-07-27,6.0,LineSowingAfterTillage,2022-07-06,2022-08-01,4.0,8.0,Boring,Electric,180.0,5.0,40.0,40.0,SoilApplied,2.0,6.0,,Broadcasting,6.0,40.0,4.0,72.0,Broadcasting,hand,2022-12-05,480.0,2022-12-20,machine,28.0,10.0,plowed_in_soil,0.2962962962962963,True,False,True,False,True,,False,,,,,,True,False,False,False,True,False,False,False,False,False,False,False,False,True
Vaishali,Garoul,15.0,15.0,2022-06-15,6.0,Manual_PuddledRandom,2022-06-16,2022-07-10,2.0,15.0,Boring,Diesel,1500.0,2.0,,1500.0,SoilApplied,2.0,30.0,15.0,SoilApplied,40.0,20.0,,20.0,Broadcasting,hand,2022-10-11,2800.0,2022-10-22,hand,22.0,10.0,plowed_in_soil,0.6818181818181818,False,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,True
Nalanda,Rajgir,80.0,70.0,2022-07-28,5.0,Manual_PuddledRandom,2022-07-10,2022-07-30,2.0,3.0,Rainfed,,300.0,4.0,2.0,1.0,SoilApplied,2.0,30.0,15.0,Broadcasting,30.0,45.0,10.287518375281818,85.0,Broadcasting,hand,2022-11-22,1800.0,2022-12-18,machine,25.0,10.0,plowed_in_soil,0.625,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Jamui,Jamui,54.0,54.0,2022-07-29,4.0,Manual_PuddledRandom,2022-06-19,2022-08-01,4.0,7.0,Boring,Electric,1500.0,3.0,8.0,1.0,Broadcasting,3.0,2.0,10.0,Broadcasting,2.0,30.0,2.0,60.0,Broadcasting,hand,2022-11-23,90.0,2023-02-02,hand,30.0,10.0,plowed_in_soil,0.6818181818181818,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,,,False,,,False,False,False,True
Vaishali,Garoul,20.0,5.0,2022-06-15,6.0,Manual_PuddledRandom,2022-06-26,2022-07-15,1.0,1.0,Boring,Electric,100.0,3.0,6.0,5.0,SoilApplied,3.0,6.0,,SoilApplied,6.0,30.0,3.0,50.0,Broadcasting,hand,2022-10-18,600.0,2022-10-30,hand,30.0,10.0,plowed_in_soil,0.1363636363636364,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
Jamui,Khaira,10.0,10.0,2022-07-26,3.0,Manual_PuddledRandom,2022-06-30,2022-08-03,3.0,1.0,Canal,,100.0,9.0,1.0,2.0,Broadcasting,1.0,5.0,6.0,Broadcasting,6.0,8.0,6.0,66.0,,hand,2022-11-15,100.0,2022-12-30,hand,26.0,10.0,plowed_in_soil,0.1363636363636364,False,False,True,False,True,False,False,True,True,False,True,True,,False,False,False,False,False,False,False,False,False,,,,
Vaishali,Mahua,20.0,10.0,2022-06-23,4.0,Manual_PuddledRandom,2022-06-03,2022-07-05,1.0,1.0,Boring,Diesel,300.0,2.0,50.0,2.0,SoilApplied,3.0,9.0,,Broadcasting,9.0,26.0,6.0,62.0,Broadcasting,hand,2022-11-05,600.0,2022-11-15,hand,30.0,10.0,plowed_in_soil,0.1363636363636364,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Vaishali,Mahua,14.0,8.0,2022-07-04,5.0,Manual_PuddledRandom,2022-06-30,2022-07-25,2.0,2.0,Boring,Diesel,200.0,5.0,400.0,5.0,SoilApplied,1.0,15.0,,SoilApplied,10.0,,10.0,80.0,,hand,2022-10-15,300.0,2022-10-20,hand,30.0,10.0,plowed_in_soil,0.1363636363636364,True,False,True,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,,,
Nalanda,Rajgir,60.0,50.0,2022-07-15,6.0,Manual_PuddledRandom,2022-06-24,2022-07-16,2.0,10.0,Boring,Electric,350.0,4.0,5.0,2.0,SoilApplied,2.0,15.0,,SoilApplied,30.0,30.0,,85.0,Broadcasting,hand,2022-11-26,900.0,2023-01-03,machine,25.0,10.0,plowed_in_soil,0.46875,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,15.0,15.0,2022-07-05,2.0,Broadcasting,2022-06-20,2022-07-28,1.0,6.0,Boring,Electric,12.0,3.0,3.3,12.0,SoilApplied,3.0,6.0,6.0,Broadcasting,6.0,30.0,6.0,60.0,Broadcasting,hand,2022-12-10,100.0,2023-01-14,hand,26.0,10.0,plowed_in_soil,0.1875,True,False,True,False,,False,False,True,False,,,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
Vaishali,Mahua,10.0,10.0,2022-07-11,4.0,Manual_PuddledRandom,2022-06-29,2022-07-27,1.0,3.0,Boring,Electric,600.0,2.0,100.0,2.0,SoilApplied,3.0,10.0,10.0,Broadcasting,10.0,20.0,10.0,50.0,Broadcasting,hand,2022-11-03,1000.0,2022-11-13,hand,30.0,10.0,plowed_in_soil,0.2272727272727273,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Jamui,Khaira,15.0,15.0,2022-07-30,3.0,Manual_PuddledRandom,2022-07-01,2022-08-03,4.0,2.0,Boring,Electric,200.0,9.0,2.0,2.0,Broadcasting,1.0,8.0,11.0,Broadcasting,7.0,27.0,5.0,50.0,,hand,2022-11-18,100.0,2023-01-20,machine,28.0,10.0,plowed_in_soil,0.2272727272727273,False,False,True,False,True,False,False,True,True,False,True,True,,False,False,False,False,False,False,False,False,True,,,,
Nalanda,Rajgir,25.0,25.0,2022-07-25,5.0,Manual_PuddledRandom,2022-07-07,2022-07-26,2.0,5.0,Rainfed,Electric,125.0,4.0,2.0,1.0,SoilApplied,2.0,15.0,10.0,Broadcasting,20.0,39.0,5.0,75.0,Broadcasting,hand,2022-12-30,3.0,2022-12-31,machine,25.0,10.0,plowed_in_soil,0.3125,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Nalanda,Rajgir,80.0,60.0,2022-07-01,5.0,LineSowingAfterTillage,2022-06-28,2022-07-16,2.0,4.0,Boring,Electric,300.0,2.0,100.0,1.0,SoilApplied,2.0,15.0,5.0,Broadcasting,15.0,43.0,30.0,75.0,Broadcasting,hand,2022-11-16,600.0,2022-12-01,machine,26.0,10.0,plowed_in_soil,0.3125,True,False,True,True,,,,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Jamui,Jamui,52.0,52.0,2022-07-21,4.0,Manual_PuddledRandom,2022-06-18,2022-07-22,4.0,5.0,Boring,Diesel,1000.0,3.0,4.0,3.0,Broadcasting,3.0,85.0,85.0,Broadcasting,2.0,30.0,1.0,60.0,Broadcasting,hand,2022-11-29,90.0,2023-02-06,hand,29.0,10.0,plowed_in_soil,0.4545454545454545,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,False,False,False,True
Vaishali,Mahua,10.0,10.0,2022-07-31,5.0,Manual_PuddledRandom,2022-07-15,2022-08-10,2.0,2.0,Boring,Electric,300.0,2.0,80.0,5.0,SoilApplied,3.0,4.0,50.0,SoilApplied,4.0,40.0,4.0,60.0,Broadcasting,hand,2022-11-03,400.0,2022-11-09,hand,30.0,10.0,plowed_in_soil,0.0909090909090909,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Jamui,Khaira,15.0,12.0,2022-07-24,3.0,Manual_PuddledRandom,2022-07-02,2022-07-28,5.0,2.0,Canal,Electric,150.0,3.0,1.0,1.0,SoilApplied,3.0,4.0,,Broadcasting,6.0,28.0,6.0,63.0,Broadcasting,hand,2022-11-01,120.0,2022-12-07,machine,25.0,10.0,plowed_in_soil,0.1363636363636364,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Jamui,Khaira,10.0,10.0,2022-07-22,5.0,Manual_PuddledRandom,2022-07-05,2022-07-26,4.0,2.0,Boring,Electric,200.0,4.0,1.0,1.0,SoilApplied,3.0,6.0,6.0,Broadcasting,4.0,28.0,6.0,60.0,Broadcasting,hand,2022-11-06,150.0,2022-12-12,machine,28.0,10.0,plowed_in_soil,0.1818181818181818,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,,False,False,False,False,False,False,False,False,False,True
Vaishali,Chehrakala,10.0,5.0,2022-07-23,4.0,Manual_PuddledRandom,2022-07-08,2022-08-03,2.0,2.0,Boring,Electric,6.0,2.0,6.0,2.0,SoilApplied,2.0,6.0,5.0,Broadcasting,9.0,29.0,,,Broadcasting,hand,2022-11-05,400.0,2022-11-16,hand,25.0,10.0,plowed_in_soil,0.1363636363636364,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,50.0,50.0,2022-07-23,5.0,Manual_PuddledRandom,2022-06-09,2022-07-26,2.0,5.0,Boring,Electric,150.0,6.0,1.0,2.0,SoilApplied,2.0,9.0,5.0,Broadcasting,20.0,45.0,35.0,6.0,Broadcasting,hand,2022-11-10,930.0,2022-12-27,machine,23.0,10.0,plowed_in_soil,0.34375,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Gaya,Gurua,15.0,15.0,2022-07-21,6.0,Manual_PuddledRandom,2022-06-21,2022-07-23,2.0,2.0,Boring,Electric,160.0,2.0,1.0,1.0,SoilApplied,1.0,6.0,3.0,SoilApplied,3.0,45.0,5.0,97.0,,hand,2022-12-02,125.0,2022-12-30,hand,28.0,10.0,plowed_in_soil,0.2222222222222222,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,,,,True
Vaishali,Mahua,10.0,10.0,2022-06-06,5.0,Manual_PuddledRandom,2022-06-10,2022-07-18,2.0,250.0,Boring,Diesel,500.0,2.0,3.0,1.0,Broadcasting,3.0,2.0,1.318182814222644,Broadcasting,4.0,25.0,6.0,45.0,Broadcasting,hand,2022-10-16,600.0,2022-10-27,hand,30.0,10.0,plowed_in_soil,0.1363636363636364,True,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Jamui,Khaira,18.0,18.0,2022-07-25,3.0,Manual_PuddledRandom,2022-06-26,2022-07-31,3.0,2.0,Boring,Electric,200.0,9.0,500.0,2.0,Broadcasting,1.0,8.0,11.0,Broadcasting,8.0,30.0,10.0,60.0,,hand,2022-11-18,120.0,2022-12-20,machine,28.0,10.0,plowed_in_soil,0.2272727272727273,False,False,True,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,,,,
Jamui,Jamui,4.0,4.0,2022-07-30,4.0,Manual_PuddledRandom,2022-06-18,2022-08-03,4.0,2.0,Boring,Electric,400.0,3.0,3.0,5.0,Broadcasting,3.0,4.0,4.0,Broadcasting,2.0,30.0,1.0,60.0,Broadcasting,hand,2022-12-03,90.0,2023-02-12,hand,30.0,10.0,plowed_in_soil,0.1818181818181818,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,,,,,,False,False,False,True
Gaya,Wazirganj,20.0,20.0,2022-07-20,4.0,Manual_PuddledRandom,2022-06-30,2022-07-21,2.0,3.0,Boring,Electric,50.0,3.0,3.0,3.0,SoilApplied,2.0,5.0,5.0,Broadcasting,10.0,25.0,10.0,60.0,Broadcasting,hand,2022-10-30,100.0,2022-11-19,machine,30.0,10.0,plowed_in_soil,0.1851851851851852,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Jamui,Jamui,10.0,10.0,2022-06-29,3.0,Manual_PuddledRandom,2022-07-10,2022-08-02,4.0,4.0,Boring,Electric,300.0,1.0,4.0,2.181818181817,Broadcasting,2.0,15.0,10.0,Broadcasting,10.0,10.0,7.0,12.0,Broadcasting,hand,2022-12-07,700.0,2023-01-11,hand,25.0,10.0,plowed_in_soil,0.4545454545454545,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Gaya,Gurua,40.0,40.0,2022-06-28,7.0,Manual_PuddledRandom,2022-06-28,2022-07-24,2.0,11.0,Rainfed,,180.0,11.0,1.0,120.0,SoilApplied,2.0,18.0,25.0,SoilApplied,12.0,42.0,30.0,7.0,Broadcasting,hand,2022-11-29,500.0,2022-12-17,hand,28.0,10.0,plowed_in_soil,0.3333333333333333,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,40.0,40.0,2022-07-06,6.0,Manual_PuddledRandom,2022-06-15,2022-07-20,1.0,5.0,Boring,Electric,200.0,3.0,6.3,22.0,SoilApplied,2.0,13.0,,Broadcasting,14.0,29.0,11.0,31.0,Broadcasting,hand,2022-11-25,560.0,2023-02-27,machine,25.0,10.0,plowed_in_soil,0.25,True,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Vaishali,Mahua,10.0,10.0,2022-07-13,4.0,Manual_PuddledRandom,2022-07-13,2022-08-08,1.0,2.0,Boring,Diesel,400.0,3.0,,2.0,SoilApplied,3.0,5.0,,SoilApplied,4.0,4.0,4.0,75.0,Broadcasting,hand,2022-11-04,400.0,2022-11-17,hand,30.0,10.0,plowed_in_soil,0.0909090909090909,True,False,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Vaishali,Chehrakala,10.0,5.0,2022-07-15,5.0,Manual_PuddledRandom,2022-07-10,2022-08-02,1.0,4.0,Boring,Diesel,800.0,2.0,100.0,3.0,SoilApplied,1.0,15.0,4.0,Broadcasting,10.0,12.0,5.0,50.0,,hand,2022-10-21,200.0,2022-10-30,machine,25.0,10.0,plowed_in_soil,0.1818181818181818,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,
Vaishali,Mahua,20.0,10.0,2022-06-10,5.0,Manual_PuddledRandom,2022-06-11,2022-07-18,2.0,3.0,Boring,Diesel,600.0,2.0,670.0,2.0,Broadcasting,3.0,4.0,8.136,Broadcasting,10.0,25.0,10.0,45.0,Broadcasting,hand,2022-10-14,1000.0,2022-10-27,hand,30.0,10.0,plowed_in_soil,0.2272727272727273,True,False,True,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,40.0,40.0,2022-07-09,5.0,Manual_PuddledRandom,2022-06-25,2022-07-12,2.0,5.0,Boring,Electric,150.0,4.0,1.0,19.0,SoilApplied,2.0,20.0,10.0,Broadcasting,10.0,45.0,15.0,,Broadcasting,hand,2022-11-24,900.0,2022-12-08,machine,24.0,10.0,plowed_in_soil,0.3125,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Jamui,Khaira,40.0,40.0,2022-07-23,4.0,Manual_PuddledRandom,2022-07-05,2022-07-28,4.0,3.0,Canal,,300.0,3.0,6.0,3.0,SoilApplied,3.0,8.0,20.0,Broadcasting,12.0,25.0,16.0,65.0,Broadcasting,hand,2022-11-09,150.0,2022-12-08,machine,28.0,10.0,plowed_in_soil,0.3636363636363636,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Noorsarai,100.0,100.0,2022-07-09,4.0,Manual_PuddledRandom,2022-06-21,2022-07-13,1.0,5.0,Boring,Electric,240.0,5.0,4.0,665.1,,2.0,18.0,12.0,Broadcasting,24.0,32.0,15.0,40.0,Broadcasting,hand,2022-10-30,600.0,2023-01-07,machine,27.0,10.0,plowed_in_soil,0.375,True,False,True,False,True,False,False,True,True,False,False,True,True,False,,False,False,False,False,False,False,True,False,False,False,True
Jamui,Khaira,22.0,20.0,2022-07-24,4.0,Manual_PuddledRandom,2022-06-30,2022-07-30,2.0,2.0,Boring,Electric,300.0,2.0,,2.0,SoilApplied,3.0,9.0,2.0,Broadcasting,10.0,23.0,10.0,25.0,Broadcasting,hand,2022-12-01,800.0,2022-12-15,hand,21.0,10.0,plowed_in_soil,0.4090909090909091,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
