,District,Block,CultLand,CropCultLand,CropTillageDepth,CropEstMethod,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalUrea,MineralFertAppMethod,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_hand_rent,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,CropTillageDateYear,CropTillageDateDayOfYearSin,CropTillageDateDayOfYearCos,RcNursEstDateYear,RcNursEstDateDayOfYearSin,RcNursEstDateDayOfYearCos,SeedingSowingTransplantingYear,SeedingSowingTransplantingDayOfYearSin,SeedingSowingTransplantingDayOfYearCos,Harv_dateYear,Harv_dateDayOfYearSin,Harv_dateDayOfYearCos,Threshing_dateYear,Threshing_dateDayOfYearSin,Threshing_dateDayOfYearCos,Yield,LandPreparationMethod,NursDetFactor,TransDetFactor,OrgFertilizers,CropbasalFerts,FirstTopDressFert
10,Vaishali,Mahua,17.0,17.0,5.0,Manual_PuddledRandom,2.0,2.0,Boring,Electric,100.0,2.0,,1.0,SoilApplied,2.0,4.0,,Broadcasting,6.0,4.0,4.0,60.0,Broadcasting,hand,150.0,machine,25.0,10.0,plowed_in_soil,0.22222222222222,2022.0,-0.3294084822245302,-0.9441875088341994,2022.0,-0.1457991969198744,-0.9893142039703664,2022.0,-0.4405187843504952,-0.8977433935342336,2022.0,-0.4937755501599774,0.8695893893466109,2022.0,-0.154308820664281,0.9880226656636976,750.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,,,,,Urea
11,Jamui,Khaira,40.0,40.0,5.0,Manual_PuddledRandom,3.0,4.0,Boring,Electric,400.0,2.0,,,SoilApplied,2.0,,,Broadcasting,5.0,35.0,,,Broadcasting,hand,90.0,machine,25.0,10.0,plowed_in_soil,0.3125,2022.0,-0.3456123126707333,-0.9123747579707274,2022.0,0.025818440227133,-0.9996666485105112,2022.0,-0.5012418134457756,-0.8653072543632061,2022.0,-0.7694148268839381,0.6387494220515268,2022.0,-0.6744436188329457,0.6387494220515268,250.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,,,Urea
12,Jamui,Jamui,40.0,40.0,4.0,Manual_PuddledRandom,3.0,1.0,Boring,Electric,200.0,2.0,,,,2.0,9.0,,Broadcasting,9.0,35.0,,,Broadcasting,hand,100.0,machine,25.0,10.0,plowed_in_soil,0.09090909090909,2022.0,-0.3617137307297674,-0.9322892131745132,2022.0,0.060213277365793,-0.9981855344718586,2022.0,-0.5160623910158526,-0.7554933140726804,2022.0,-0.8498170915275277,0.6387494220515268,2022.0,-0.4635502709028512,0.935367949313148,800.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability PreMonsoonShowers SeedAvailability,RainArrival SeedlingAge,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,,Urea
13,Vaishali,Mahua,15.0,10.0,5.0,Manual_PuddledRandom,3.0,10.0,Boring,Electric,,5.0,,,,1.0,10.0,,Broadcasting,,,,,,hand,,machine,25.0,10.0,plowed_in_soil,0.1851851851852,2022.0,-0.3456123126707333,-0.9383773917408642,2022.0,0.0086069968886886,-0.9999629591162656,2022.0,-0.3294084822245302,-0.9123747579707274,2022.0,-0.5808002734538014,0.8039279618328208,2022.0,-0.4014879892059737,0.3253420847119795,1250.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability,,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,,NPKS Other SSP Urea
14,Gaya,Wazirganj,20.0,20.0,5.0,Manual_PuddledRandom,4.0,5.0,Boring,Electric,,3.0,4.0,,Broadcasting,2.0,15.0,15.0,Broadcasting,15.0,20.0,,,Broadcasting,hand,200.0,machine,24.0,10.0,plowed_in_soil,0.3703703703703703,2022.0,-0.3777079652039646,-0.92592477719385,2022.0,0.0086069968886886,-0.9999629591162656,2022.0,-0.3935902766564664,-0.973118337233262,2022.0,-0.594726686960764,0.6387494220515268,2022.0,-0.6744436188329457,0.4054257283599973,480.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,Urea,Urea
15,Vaishali,Mahua,20.0,15.0,6.0,Manual_PuddledRandom,1.0,2.0,Boring,Electric,150.0,4.0,,,SoilApplied,3.0,10.0,10.0,Broadcasting,10.0,40.0,,,Broadcasting,hand,1000.0,machine,21.0,10.0,plowed_in_soil,0.2272727272727273,2022.0,-0.2303056702306119,-0.973118337233262,2022.0,0.1116590071216951,-0.9955213724144752,2022.0,-0.4093559588156211,-0.92592477719385,2022.0,-0.661634618242279,0.7146733860429608,2022.0,-0.7116566222817751,0.8609610158889945,240.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,,,Urea
16,Nalanda,Rajgir,50.0,50.0,4.0,Manual_PuddledRandom,2.0,2.0,Boring,Electric,200.0,2.0,3.0,2.0,SoilApplied,2.0,10.0,10.0,Broadcasting,10.0,25.0,,,Broadcasting,hand,400.0,machine,30.0,10.0,plowed_in_soil,0.1851851851851852,2022.0,0.060213277365793,-0.9981855344718586,2022.0,0.060213277365793,-0.9996666485105112,2022.0,-0.3131070409358267,-0.9497178427914316,2022.0,-0.8498170915275277,0.6387494220515268,2022.0,-0.4635502709028512,0.9880226656636976,800.0,TractorPlough,IrrigWaterAvailability,IrrigWaterAvailability SeedlingAge,Ganaura,Urea,Urea
17,Nalanda,Rajgir,30.0,30.0,4.0,Manual_PuddledRandom,1.0,2.0,Boring,Electric,150.0,1.0,1.0,2.0,SoilApplied,3.0,10.0,10.0,Broadcasting,20.0,42.0,,,Broadcasting,hand,1200.0,hand,26.0,10.0,plowed_in_soil,0.45454545454545,2022.0,-0.3456123126707333,-0.973118337233262,2022.0,0.060213277365793,-0.9981855344718586,2022.0,-0.4093559588156211,-0.92592477719385,2022.0,-0.7116566222817751,0.5702422926917867,2022.0,-0.4937755501599774,0.7025274741691566,900.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,Urea,Urea
18,Jamui,Jamui,20.0,20.0,4.0,Manual_PuddledRandom,1.0,2.0,Boring,Electric,300.0,2.0,,,SoilApplied,2.0,12.0,12.0,Broadcasting,28.0,36.0,,,Broadcasting,hand,200.0,machine,30.0,10.0,plowed_in_soil,0.04545454545454,2022.0,-0.2470221804809352,-0.9690098257244064,2022.0,0.0086069968886886,-0.9999629591162656,2022.0,-0.4093559588156211,-0.9383773917408642,2022.0,-0.5808002734538014,0.4825077417612176,2023.0,0.4482293417404106,0.9668478136052772,250.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,,Urea,Urea
19,Gaya,Gurua,20.0,20.0,5.0,Manual_PuddledRandom,2.0,3.0,Boring,Electric,,3.0,,,,1.0,15.0,15.0,Broadcasting,,,,,,hand,1000.0,machine,25.0,10.0,plowed_in_soil,0.13636363636364,2022.0,-0.3456123126707333,-0.9383773917408642,2022.0,0.060213277365793,-0.9981855344718586,2022.0,-0.3456123126707333,-0.9383773917408642,2022.0,-0.7236440382959123,0.8140460935082175,2022.0,-0.5667017562911184,0.690173388242972,750.0,TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,Urea,NPKS Other SSP Urea
20,Nalanda,Rajgir,44.0,42.0,5.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,100.0,2.0,2.0,,SoilApplied,2.0,8.0,,Broadcasting,8.0,40.0,,,Broadcasting,hand,80.0,machine,22.0,10.0,plowed_in_soil,0.15625,2022.0,-0.4093559588156211,-0.9646141756912436,2022.0,0.1116590071216951,-0.993746580436178,2022.0,-0.3935902766564664,-0.9383773917408642,2022.0,-0.3536761221763721,0.935367949313148,2022.0,-0.154308820664281,0.9668478136052772,180.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura Ghanajeevamrit,,Urea
21,Jamui,Jamui,40.0,40.0,4.0,Manual_PuddledRandom,3.0,3.0,Boring,Electric,150.0,1.0,,,SoilApplied,2.0,10.0,,Broadcasting,15.0,40.0,,,Broadcasting,hand,200.0,machine,27.0,10.0,plowed_in_soil,0.22727272727273,2022.0,-0.4250003399695539,-0.9051931898913976,2022.0,0.077386479233463,-0.993746580436178,2022.0,-0.0773864792334632,-0.9955213724144752,2022.0,-0.7583058084785625,0.5416278206559811,2023.0,-0.154308820664281,0.9821256058680006,375.0,TractorPlough,,,,,Urea
22,Gaya,Gurua,30.0,30.0,5.0,Manual_PuddledRandom,1.0,8.0,Boring,Electric,,2.0,,,,2.0,8.0,,Broadcasting,8.0,40.0,,,Broadcasting,hand,100.0,machine,30.0,10.0,plowed_in_soil,0.25,2022.0,-0.1116590071216944,-0.993746580436178,2022.0,0.1457991969198751,-0.9837092937736098,2022.0,-0.0945367498171993,-0.9970011699250152,2022.0,-0.7116566222817751,0.3253420847119795,2022.0,-0.2386727660059499,0.935367949313148,1240.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,,Urea
23,Vaishali,Mahua,30.0,30.0,5.0,Manual_PuddledRandom,1.0,1.0,Boring,Electric,300.0,1.0,,,Broadcasting,3.0,10.0,10.0,Broadcasting,10.0,30.0,,,Broadcasting,hand,1000.0,hand,30.0,10.0,plowed_in_soil,0.22727272727273,2022.0,-0.4093559588156211,-0.9646141756912436,2022.0,0.1966728897935764,-0.9646141756912436,2022.0,-0.4711595076738639,-0.8820480249558535,2022.0,-0.9455963874271428,0.5416278206559811,2022.0,-0.154308820664281,0.9927487224577402,720.0,TractorPlough,,,,Urea,Urea
24,Jamui,Jamui,30.0,30.0,4.0,Manual_PuddledRandom,2.0,4.0,Boring,Electric,400.0,3.0,500.0,,Broadcasting,2.0,10.0,10.0,Broadcasting,10.0,39.0,,,Broadcasting,hand,500.0,machine,27.0,10.0,plowed_in_soil,0.3125,2022.0,0.025818440227133,-0.99907411510223,2022.0,0.1966728897935764,-0.980469160361632,2022.0,-0.3294084822245302,-0.9441875088341994,2022.0,-0.8214765533024145,0.5702422926917867,2022.0,-0.1372787721132651,0.9946708199115212,850.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,Urea,Urea
25,Nalanda,Rajgir,30.0,30.0,5.0,Manual_PuddledRandom,2.0,1.0,Boring,Electric,500.0,2.0,,,,2.0,,,Broadcasting,20.0,23.0,,,Broadcasting,hand,600.0,machine,30.0,10.0,plowed_in_soil,0.3125,2022.0,-0.2802306751992161,-0.9599326896597444,2022.0,0.077386479233463,-0.993746580436178,2022.0,-0.3131070409358267,-0.9192859697186104,2022.0,-0.5808002734538014,0.6118864012687242,2023.0,0.8406184056344783,0.9787400799669153,700.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,,Urea
26,Nalanda,Rajgir,20.0,20.0,6.0,Broadcasting,,10.0,Boring,Electric,,4.0,,,Broadcasting,2.0,12.0,12.0,Broadcasting,11.0,23.0,,,Broadcasting,machine,,machine,25.0,40.0,plowed_in_soil,0.1363636363636364,2022.0,-0.3456123126707333,-0.9383773917408642,,,,2022.0,-0.3617137307297674,-0.9322892131745134,2022.0,-0.6870527672236675,0.8779600847008883,2022.0,-0.0516196672232541,0.9994074007397048,600.0,TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,,Urea,Urea
27,Gaya,Gurua,30.0,25.0,4.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,150.0,2.0,3.0,,Broadcasting,2.0,5.0,10.0,Broadcasting,15.0,28.0,,,Broadcasting,hand,200.0,machine,30.0,10.0,plowed_in_soil,0.3181818181818182,2022.0,-0.2802306751992161,-0.9051931898913976,2022.0,0.0086069968886886,-0.9999629591162656,2022.0,-0.2802306751992161,-0.9599326896597444,2022.0,-0.8214765533024145,0.6387494220515268,2022.0,-0.8214765533024145,0.5702422926917867,350.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability,IrrigWaterAvailability RainArrival SeedlingAge,Ganaura,Urea,Urea
28,Vaishali,Mahua,30.0,30.0,4.0,Manual_PuddledRandom,2.0,1.0,Boring,Electric,500.0,3.0,1.0,,Broadcasting,3.0,20.0,,Broadcasting,20.0,30.0,,,Broadcasting,hand,250.0,hand,30.0,10.0,plowed_in_soil,0.1818181818181818,2022.0,-0.3456123126707333,-0.9383773917408642,2022.0,0.025818440227133,-0.9996666485105112,2022.0,-0.3294084822245302,-0.9441875088341994,2022.0,-0.7694148268839381,0.7694148268839381,2022.0,-0.8758917051442433,0.6387494220515268,650.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability RainArrival SeedlingAge,Ganaura,,Urea
29,Jamui,Jamui,40.0,40.0,4.0,Manual_PuddledRandom,1.0,2.0,Boring,Electric,200.0,2.0,,,SoilApplied,2.0,10.0,,Broadcasting,7.0,7.0,,,Broadcasting,hand,1000.0,machine,30.0,10.0,plowed_in_soil,0.13636363636364,2022.0,0.060213277365793,-0.9981855344718586,2022.0,0.0086069968886886,-0.9999629591162656,2022.0,-0.5160623910158526,-0.8565509959010037,2022.0,-0.9455963874271428,0.8779600847008883,2023.0,-0.867456354729597,0.9469877530760752,225.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability SeedAvailability,SeedlingAge,,,Urea
30,Jamui,Khaira,22.0,22.0,4.0,Manual_PuddledRandom,2.0,3.0,Boring,Diesel,200.0,3.0,2.0,,SoilApplied,2.0,36.0,,Broadcasting,25.0,25.0,,,Broadcasting,hand,200.0,machine,30.0,10.0,plowed_in_soil,0.1818181818181818,2022.0,-0.0430222330045303,-0.99907411510223,2022.0,-0.008606996888688,-0.9999629591162656,2022.0,-0.3131070409358267,-0.9646141756912436,2022.0,-0.4787338401157883,0.690173388242972,2022.0,-0.1372787721132651,0.9976303053065856,300.0,TractorPlough,,,Ganaura,,Urea
31,Nalanda,Rajgir,40.0,40.0,5.0,Manual_PuddledRandom,2.0,4.0,Boring,Electric,160.0,1.0,1.0,,Broadcasting,2.0,15.0,,Broadcasting,15.0,25.0,,,Broadcasting,hand,400.0,hand,30.0,10.0,plowed_in_soil,0.2272727272727273,2022.0,-0.2802306751992161,-0.9549667548552552,2022.0,0.0086069968886886,-0.9999629591162656,2022.0,-0.4711595076738639,-0.8565509959010037,2022.0,-0.661634618242279,0.6387494220515268,2022.0,-0.4635502709028512,0.9469877530760752,400.0,FourWheelTracRotavator TractorPlough,LabourAvailability,SeedlingAge,Ganaura,,Urea
32,Jamui,Jamui,33.0,23.0,5.0,Manual_PuddledRandom,1.0,4.0,Boring,Electric,400.0,1.0,1.0,2.0,SoilApplied,2.0,9.0,,Broadcasting,9.0,45.0,,,Broadcasting,hand,500.0,machine,30.0,10.0,plowed_in_soil,0.3703703703703,2022.0,-0.3131070409358267,-0.9497178427914316,2022.0,0.025818440227133,-0.9996666485105112,2022.0,-0.8359254794186365,-0.9599326896597444,2022.0,-0.5380051715382992,0.6387494220515268,2023.0,-0.1372787721132651,0.8429415373547832,800.0,TractorPlough,,IrrigWaterAvailability,Ganaura,,Urea
33,Vaishali,Mahua,20.0,20.0,4.0,Manual_PuddledRandom,4.0,4.0,Boring,Electric,400.0,1.0,,2.0,SoilApplied,2.0,8.0,,Broadcasting,8.0,45.0,,,Broadcasting,hand,600.0,machine,30.0,10.0,plowed_in_soil,0.625,2022.0,0.060213277365793,-0.9981855344718586,2022.0,0.0086069968886886,-0.9999629591162656,2022.0,-0.4250003399695539,-0.9051931898913976,2022.0,-0.7354170229639858,0.6648553979642867,2022.0,-0.6744436188329457,0.8860706215341377,684.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,,,Urea
34,Nalanda,Rajgir,20.0,20.0,3.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,200.0,3.0,,,SoilApplied,2.0,9.0,,Broadcasting,9.0,45.0,,,Broadcasting,hand,200.0,machine,25.0,10.0,plowed_in_soil,0.22727272727273,2022.0,-0.3935902766564664,-0.9192859697186104,2022.0,0.1797665857255624,-0.986657932891657,2022.0,-0.3777079652039646,-0.92592477719385,2022.0,-0.8406184056344783,0.5123714121284235,2022.0,-0.9141279881853336,0.5270777086423724,800.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,,,Urea
35,Vaishali,Mahua,30.0,30.0,4.0,Manual_PuddledRandom,1.0,1.0,Boring,Electric,300.0,2.0,,,Broadcasting,3.0,10.0,10.0,Broadcasting,10.0,30.0,10.0,60.0,Broadcasting,hand,600.0,machine,30.0,10.0,plowed_in_soil,0.04545454545454,2022.0,-0.3777079652039646,-0.92592477719385,2022.0,0.1116590071216951,-0.9955213724144752,2022.0,-0.4405187843504952,-0.8977433935342336,2022.0,-0.5380051715382992,0.7383263540031063,2022.0,-0.154308820664281,0.935367949313148,440.0,FourWheelTracRotavator TractorPlough,,,,Urea,Urea
36,Nalanda,Rajgir,10.0,10.0,5.0,Manual_PuddledRandom,1.0,4.0,Boring,Electric,240.0,2.0,,,SoilApplied,2.0,5.0,,Broadcasting,7.0,30.0,,,Broadcasting,hand,90.0,machine,25.0,10.0,plowed_in_soil,0.3125,2022.0,0.3777079652039649,-0.9497178427914316,2022.0,0.1966728897935764,-0.980469160361632,2022.0,-0.3131070409358267,-0.9383773917408642,2022.0,-0.7354170229639858,0.6387494220515268,2022.0,-0.3212696616923651,0.9880226656636976,910.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,,,,,Urea
